id,timeid,z_neighbour,z_state
246,3,-0.35,-0.43
246,4,0.64,0.96
246,5,-0.64,-0.48
246,6,-2.01,-0.44
246,7,-1.34,-0.33
247,1,-0.46,-0.50
247,2,0,0
247,3,-0.30,-0.47
247,4,2.42,-0.21
247,5,3.47,-0.16
247,6,2.73,-0.24
247,7,1.54,-0.32
248,1,0,-0.17
248,2,-0.53,-0.52
248,3,-0.54,-0.46
248,4,-0.45,-0.19
248,5,-0.33,0.01
248,6,-0.40,-0.09
248,7,-0.53,-0.31
249,1,-0.82,-0.20
249,2,-0.50,-0.24
249,3,-0.79,-0.31
249,4,-1.05,-0.36
249,5,-0.90,-0.24
249,6,-0.89,-0.17
249,7,-0.88,-0.15
250,1,-0.48,-0.41
250,2,-0.54,-0.29
250,3,-0.50,-0.55
250,4,-0.79,-0.54
250,5,-0.82,-0.64
250,6,-0.84,-0.75
250,7,-0.71,-0.62
251,1,1.03,-0.13
251,2,-0.50,-0.60
251,3,12.67,1.38
251,4,-0.09,-0.37
251,5,0.03,-0.20
251,6,0.26,-0.03
251,7,0.20,-0.05
252,1,16.74,21.14
252,2,-0.13,5.30
252,3,1.79,2.41
252,4,3.34,3.91
252,5,2.51,2.49
252,6,0.92,1.38
252,7,2.26,2.66
254,1,0,-0.25
254,2,-0.71,-0.39
254,3,-0.39,-0.44
254,4,-0.79,-0.70
254,5,-1.34,-0.47
254,6,-1.61,-0.94
254,7,-3.74,-0.83
255,1,0,-0.20
255,2,1.75,-0.13
